"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"64009",743.956191444136,3.6357937596828,0.720612671573753,5.04542024183749,4.52525637065174e-07,2.07668792692182e-06
"68533",182.084245983034,-1.40382973408107,0.278263351729459,-5.04496810433715,4.53597028650374e-07,2.08090495698161e-06
"228356",190.605336415163,3.15735448011601,0.625866702348294,5.04477146374684,4.54063754165834e-07,2.08234614141643e-06
"407785",492.594992794382,-1.19087995691873,0.236083796074386,-5.04431043858469,4.55159812116726e-07,2.0866715202449e-06
"66861",1994.29291663378,0.641434034971728,0.127188673076224,5.04316948559813,4.57883339833356e-07,2.09845259303077e-06
"67488",1587.43974603317,2.98983781710867,0.592988220282281,5.04198517752244,4.60726983645376e-07,2.11077605666065e-06
"12343",1648.66289409697,0.600150016980366,0.119049305530829,5.04118872684183,4.62648914397435e-07,2.11886992741483e-06
"12994",254490.32618392,-7.21981731544991,1.43221771207854,-5.04100546625134,4.63092237299353e-07,2.1201888140428e-06
"12990",813758.72269647,-7.57789083664159,1.5032887876326,-5.04087497956753,4.63408145364756e-07,2.12092366463386e-06
"53330",246.232622183987,-1.13380739792164,0.224937814629685,-5.04053709149896,4.64227138200012e-07,2.12395976605892e-06
"232286",1055.60102201398,-0.622484684674753,0.123502675319333,-5.04025263473229,4.6491770339059e-07,2.12608447053998e-06
"11475",140958.255014048,9.31539701082679,1.84821330160222,5.04021749153697,4.65003087966138e-07,2.12608447053998e-06
"69941",42.6972461781933,-2.68940380293707,0.533814860797955,-5.03808342637165,4.70216496386655e-07,2.1492011864317e-06
"107589",28337.585561134,8.80861713348171,1.74870002010772,5.03723739474716,4.72298873715125e-07,2.1579963269046e-06
"16400",6406.94186078372,3.79370531807295,0.753335791960724,5.03587557973184,4.75669467222216e-07,2.17202117254524e-06
"16770",31626.3759358866,-7.41898692325136,1.47322883444594,-5.03586866465421,4.75686641613256e-07,2.17202117254524e-06
"212632",4012.36381939226,4.15080085962609,0.824371089645532,5.03511211366094,4.77569239571016e-07,2.17973571151765e-06
"192120",832.967153300898,-6.77359316805173,1.34528510756178,-5.03506143788977,4.77695597387844e-07,2.17973571151765e-06
"20514",1187.6775900405,4.233302435297,0.840811773716301,5.03478015844883,4.78397541782228e-07,2.18220910770182e-06
"13495",695.468035086037,-1.2352731353095,0.245352189047177,-5.03469376045376,4.78613351170796e-07,2.18246408846609e-06
"16516",237.284303472463,-4.89337273393661,0.972056034317219,-5.03404388346168,4.80239659697638e-07,2.18914858902918e-06
"66585",576.957202121224,-1.0541687051684,0.209413468075438,-5.03391073581118,4.80573517150127e-07,2.1899390190534e-06
"54214",2316.2041625449,-0.873223583239235,0.17349283874151,-5.03319669891542,4.82367732088951e-07,2.19738144444259e-06
"217265",811.043203139104,1.63266365307381,0.324403931544757,5.0328109320357,4.83339764259684e-07,2.2010747756477e-06
"216856",2049.30100872543,3.60071755044301,0.715470070857824,5.03265992122617,4.83720786486587e-07,2.20136816121773e-06
"13589",5877.07377054247,1.53748436275032,0.30550148677314,5.03265754608922,4.83726781615765e-07,2.20136816121773e-06
"73668",406.574868499841,1.45890620542765,0.28999062325897,5.03087371940578,4.88249669114609e-07,2.22092749815179e-06
"16835",4934.23140747698,0.746654367789563,0.148415616580906,5.03083425444341,4.88350192112656e-07,2.22092749815179e-06
"70122",867.421234724004,1.53773687297123,0.305737260178045,5.02960245040378,4.91497829699434e-07,2.23449779471615e-06
"268395",323.066461567932,-1.57147408873895,0.3124710400341,-5.02918314787653,4.9257373325112e-07,2.23864346034342e-06
"15288",365.580332057419,-2.33800834465161,0.464904337650403,-5.02900953014927,4.93019889915089e-07,2.23992525218413e-06
"72416",1122.84389971581,-0.879587745115864,0.175017116721211,-5.02572412112684,5.01536451411939e-07,2.27786006285196e-06
"57170",228.956897229356,-1.40365163212177,0.279344286212302,-5.0248088162254,5.03934296532852e-07,2.28798911479719e-06
"630836",141.824171641716,-2.47950635376621,0.493474492939074,-5.02458868542237,5.04512625246025e-07,2.28985311252336e-06
"74198",309.555728153944,1.21198960226188,0.241228629950112,5.02423614689737,5.05440149713431e-07,2.29330025375296e-06
"226594",139.128738101951,7.66338217887237,1.52554997104377,5.02335703472836,5.07760251627683e-07,2.30306145371041e-06
"71233",83.9991444047972,3.38487574258168,0.674029868390486,5.02184829088422,5.11765998957069e-07,2.32045925374288e-06
"226499",934.226114096868,-1.03168309886356,0.205470271455727,-5.02108208430463,5.1381194444329e-07,2.32896227756958e-06
"68591",256.29717612322,-1.63762432501587,0.326201412867006,-5.02028581244541,5.15946527995935e-07,2.33786129285808e-06
